url,name,price_idr,sold_count,rating,brand,cpu,cpu_full,ram_gb,storage_raw,ssd_gb,storage_type,nvme,screen_inch,resolution,display_type,touchscreen,gpu,gpu_type,os,battery_hours,condition,error
https://www.tokopedia.com/specialistlaptop/laptop-2-in-1-dell-latitude-5300-core-i7-8th-gen-ram-16gb-ssd-512-ips-intel-core-i5-ram-8gb-ssd-256-770db,"Laptop 2 in 1 Dell Latitude 5300 Core i7 8th Gen RAM 16GB SSD 512 IPS - Intel Core i5, RAM 8GB SSD 256",3650000,27,5,Dell,,intel core i7 ( sudah habis ) tinggal core i5 Laptop,8,SSD NVME 256GB / 512GB VGA intel uhd graphic,256,SSD,Yes,13.3,1920x1080,IPS,Yes,,Integrated,Windows 10 Pro,,Used,
https://www.tokopedia.com/specialistlaptop/laptop-2-in-1-dell-latitude-7390-core-i5-gen-8-ram-8gb-ssd-512-murah-ssd-256gb-536ee,Laptop 2 in 1 Dell Latitude 7390 Core i5 Gen 8 RAM 8GB SSD 512 Murah - SSD 256GB,3750000,2,5,Dell,i5 8350u,Intel Core i5 8350u 1.70 GHz - 3.20 GHz Quad-Core OPE,8,256GB SSD / SDD 512GB,512,SSD,No,,1920 x 1080,IPS,Yes,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/laptop-2-in-1-hp-probook-x360-435-g7-amd-ryzen-7-pro-4750u-ram-16gb-ssd-256-vga-amd-radeon-touchscreen-full-hd-ips-1734069881516885438,Laptop 2 in 1 Hp Probook X360 435 G7 AMD Ryzen 7 Pro 4750u RAM 16GB SSD 256 VGA AMD Radeon Touchscreen Full HD IPS - RAM 16/256,5499000,24,5,Hp,AMD Ryzen 7 PRO 4750u,AMD Ryzen 7 PRO 4750u Radeon VGA Mobile Gfx ( 16,16,SSD 256GB ● VGA Graphics : AMD Radeon (,256,SSD,No,13.3,1920x1080,IPS,Yes,,Integrated,Windows 11 Professional 64bit,,Used,
https://www.tokopedia.com/specialistlaptop/laptop-2-in-1-lenovo-thinkpad-x1-yoga-4th-core-i7-8th-gen-ram-16gb-ssd-x1-yoga-4th-i5-ram-16-ssd-256-d4a03,"Laptop 2 in 1 Lenovo Thinkpad X1 Yoga 4TH Core i7 8th Gen RAM 16GB SSD - X1 Yoga 4th i5, RAM 16 SSD 256",5450000,250,4.9,Lenovo,,Intel Core i5 Dan i7 Gen 8 NOTE : Core i5 Dan Core i7,16,SSD 256GB - 512GB - 1 TB ( Varian Harga,256,SSD,No,14,FHD,IPS,Yes,,Integrated,Windows 11 Pro,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-2-in-1-lenovo-thinkpad-x230t-core-i5-ram-8gb-touch-pen-stylus-4gb-hdd-320gb,Laptop 2 in 1 Lenovo Thinkpad X230T Core i5 RAM 8GB Touch + Pen Stylus - 4GB HDD 320GB,2899900,12,4.9,Lenovo,i5 3320M 2,Intel Core i5 3320M 2,4,,,SSD,No,12.5,1367x768,IPS,Yes,,Integrated,,,Used,
https://www.tokopedia.com/specialistlaptop/laptop-asus-pro-450c-intel-4gb-ssd-120gb-nvidia-1gb-murah-gan-ssd-128gb,Laptop Asus Pro 450C Intel - 4GB - SSD 120GB - Nvidia 1GB - Murah Gan - SSD 128GB,2899000,40,4.9,Asus,,,4,SSD 120GB “ Fast Booting “ VGA INTEL HD,120,SSD,No,14,HD,,No,,Dedicated,,,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-inspiron-5468-core-i5-7200u-vga-amd-2gb-ssd-128-murah-8gb-ssd-128gb,Laptop Dell Inspiron 5468 Core i5 7200u - VGA AMD 2GB - SSD 128 Murah - 8GB SSD 128GB,4500000,13,5,Dell,i5 7200u,Intel Core i5 7200u 2.50 GHz Up To 2.70 GHz RAM 8GB D,8,SSD 128 GB “ Fast Booting “ WEBCAM VGA i,128,SSD,No,14,HD,,No,,Dedicated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-5290-2-in-1-core-i5-gen-8-ram-8gb-ssd-256-fhd-ips-ssd-256gb-80777,Laptop Dell Latitude 5290 2 in 1 Core i5 Gen 8 RAM 8GB SSD 256 FHD IPS - SSD 256GB,3799000,19,5,Dell,i5-8265u,Intel Core i5-8265u 1.60GHz ~ turbo boost up to @2.00,8,SSD 256 GB FULL HD BACKLITE Touchscreen,256,SSD,No,5,1920x1080,,Yes,,Integrated,Windows 10 Pro,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-5420-core-i5-gen-11-ram-16gb-ssd-512-fhd-ips-slim-ssd-256gb-c4468,Laptop Dell Latitude 5420 Core i5 Gen 11 RAM 16GB SSD 512 FHD IPS Slim - SSD 256GB,5599000,60,5,Dell,i5 1145G7,Intel Core i5 1145G7 2.60 GHz -Memory DDR4 16GB -SSD,16,SSD NVME 256-512GB  ( FAST BOOTING ) -Layar 14 i,,SSD,Yes,14,1920x1080,IPS,No,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-5420-core-i7-gen-11-ram-16gb-ssd-512-fhd-ips-slim-1730696859414923117,Laptop Dell Latitude 5420 Core i7 Gen 11 RAM 16GB SSD 512 FHD IPS Slim - 16 gb,6250000,80,5,Dell,i7 1185G7,Intel Core i7 1185G7 3.0 GHz ( 8 CPus ) -Memory DDR4,16,SSD NVME 512GB  ( FAST BOOTING ) -Layar 14 i,512,SSD,Yes,14,1920x1080,IPS,No,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-5480-core-i5-7th-gen-ssd-256-ram-8gb-fhd-ips-slim-ssd-256gb,Laptop Dell Latitude 5480 Core i5 7th Gen SSD 256 RAM 8GB FHD IPS Slim - SSD 256GB,3699000,70,4.9,Dell,,,8,SSD 256 GB“ Fast Boot “ VGA INTEL HD 520,256,SSD,No,14,1367x768,,No,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-5490-core-i5-8th-gen-ram-16gb-ssd-256-fhd-ips-slim-murah,Laptop Dell Latitude 5490 Core i5 8th Gen RAM 16GB SSD 256 FHD IPS Slim Murah,3799000,1,,Dell,,,16,SSD 256 GB“ Fast Boot “ VGA INTEL HD 520,256,SSD,No,14,1920x1080,,No,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-7280-core-i5-7200u-8gb-ssd-256-win-10-murah-slim-ssd-128gb-8-gb,"Laptop Dell Latitude 7280 Core i5 7200u 8GB SSD 256 Win 10 Murah Slim - SSD 128GB, 8 gb",3199000,60,4.8,Dell,i5 7200u,Intel Core i5 7200u 2.5 GHz RAM 8GB DDR4L SSD 256GB “,8,SSD 256GB “ Fast Boot “ VGA INTEL HD 62,256,SSD,No,12.5,HD,,No,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-7280-core-i7-gen-7-ram-8gb-ssd-512gb-garansi-murah-windows-11-1733544896934086078,Laptop Dell Latitude 7280 Core i7 Gen 7 RAM 8GB SSD 512GB Garansi Murah Windows 11,4500000,,,Dell,i7 7600u,Intel Core i7 7600u 2.5 GHz RAM 8GB DDR4L SSD 512 “ F,8,,,SSD,No,12.5,HD,,No,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-7300-core-i7-gen-8-ram-32gb-ssd-touchscreen-ips-nvme-256gb-16-gb-b6f91,"Laptop Dell Latitude 7300 Core i7 Gen 8 RAM 32GB SSD Touchscreen IPS - NVME 256GB, 16 gb",6499000,70,5,Dell,i7 10610,Intel Core i7 10610 1.80 GHz up to 2.11 GHz -Memory D,16,,,SSD,Yes,14,1920x1080,IPS,Yes,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-7320-core-i7-gen-11-ram-16gb-ssd-512-fhd-ips-slim-1733181202553669054,"Laptop Dell Latitude 7320 Core i7 Gen 11 RAM 16GB SSD 512 FHD IPS Slim - SSD NVME 256GB, RAM 32GB",5850000,100,4.9,Dell,i7 1185G7,Intel Core i7 1185G7 3.0 GHz ( 8 CPus ) -Memory DDR4,16,SSD NVME 256GB - 512GB  ( FAST BOOTING ) -La,256,SSD,Yes,13.3,1920x1080,IPS,No,,Integrated,,2,Used,
https://www.tokopedia.com/specialistlaptop/laptop-dell-latitude-7390-core-i5-gen-8-ram-16gb-ssd-256-fhd-ips-murah-ssd-128gb-8-gb,"Laptop Dell Latitude 7390 Core i5 Gen 8 RAM 16GB SSD 256 FHD IPS Murah - SSD 128GB, 8 gb",3799000,80,5,Dell,i5 8350U,Intel Core i5 8350U 1.6 GHz - 3.4 GHz Quad-Core OPERA,16,256GB SSD / SDD 512GB,256,SSD,No,,1920 x 1080,IPS,No,,Integrated,WINDOWS 10,,Used,
